Dipper literature paper-retrieval summary
Literature search cutoff: 2026-07-16
The nine supplied VizieR records are attached data catalogs, not additional papers.

ALL CANDIDATE INFORMATION RETRIEVED (60)
========================================
- 1999 | Magnetospheric accretion onto the T Tauri star AA Tau | key=bouvier1999 | in_screenshots=no | access=accessed | reported/expected=1 object: AA Tau | recovered_coordinate_rows=1 | The screenshots' KH 15D foundational folder does not replace the missing AA Tau prototype literature.
- 2016 | Dipper Disks Not Inclined towards Edge-on Orbits | key=ansdell2016_inclinations | in_screenshots=no | access=accessed | reported/expected=3 | recovered_coordinate_rows=0 | The three targets are contained in the Ansdell/Bodman occurrence set; no new unique stars.
- 2016 | The peculiar dipping events in the disc-bearing young-stellar object EPIC 204278916 | key=scaringi2016 | in_screenshots=no | access=accessed | reported/expected=1 object | recovered_coordinate_rows=1 | Not a population catalog, but a relevant discovery paper absent from the screenshots.
- 2017 | Dippers and dusty disc edges: new diagnostics and comparison to model predictions | key=bodman2017 | in_screenshots=no | access=accessed | reported/expected=25 | recovered_coordinate_rows=25 | Recovered all 25 stars from Table 1. The first 10 are the Ansdell et al. (2016) well-characterized subset; the remaining 15 are the additional discovery-set objects omitted from that detailed characterization table. Each row has a unique EPIC ID, 2MASS ID and sky position. Coordinates are encoded by the published 2MASS PSC designations (0.01 s RA, 0.1 arcsec Dec precision). Final journal DOI: 10.1093/mnras/stx1034.
- 2017 | A Population of Eruptive Variable Protostars in VVV | key=contreraspena2017 | in_screenshots=yes | access=accessed | reported/expected=45 | recovered_coordinate_rows=45 | All relevant candidate rows in the accessible article table were transcribed.
- 2017 | A Transient Transit Signature Associated with the Young Star RIK-210 | key=david2017 | in_screenshots=no | access=accessed | reported/expected=1 object | recovered_coordinate_rows=1 | Keep separate from inner-protoplanetary-disk dippers because the star lacks a conventional inner-disk excess.
- 2017 | Identification of Young Stellar Variables with KELT for K2 I: Taurus Dippers and Rotators | key=rodriguez2017taurus | in_screenshots=yes | access=accessed | reported/expected=5 | recovered_coordinate_rows=5 | 
- 2017 | Identification of Young Stellar Variables with KELT for K2 II: The Upper Scorpius Association | key=rodriguez2017usco | in_screenshots=yes | access=accessed | reported/expected=4 | recovered_coordinate_rows=4 | Recovered all four physical sources from Section 4.3 and the source table. Excluded blended neighbour J16042097-2130415 because the paper attributes the dips to J16042165-2130284.
- 2018 | The Many-faceted Light Curves of Young Disk-bearing Stars in Upper Sco-Oph Observed by K2 Campaign 2 | key=cody2018 | in_screenshots=yes | access=accessed | reported/expected=94 | recovered_coordinate_rows=94 | 49 QPD plus 45 APD.
- 2018 | Discovery of New Dipper Stars with K2 | key=hedges2018 | in_screenshots=yes | access=accessed | reported/expected=95 | recovered_coordinate_rows=95 | 70 new objects plus 25 known/training examples.
- 2018 | Rotation of Low-mass Stars in Upper Scorpius and rho Ophiuchus with K2 | key=rebull2018 | in_screenshots=no | access=accessed | reported/expected=83 Dip=yes rows | recovered_coordinate_rows=83 | Distinct coordinate catalog from Ansdell et al. 2016 and Cody & Hillenbrand 2018, both visible in the screenshots.
- 2019 | The Little Dippers: Transits of Star-grazing Exocomets? | key=ansdell2019 | in_screenshots=yes | access=accessed | reported/expected=2 | recovered_coordinate_rows=2 | 
- 2019 | Planetesimals Around Stars with TESS (PAST) I: Transient Dimming of a Binary Solar Analog at the End of the Planet Accretion Era | key=gaidos2019 | in_screenshots=no | access=accessed | reported/expected=1 | recovered_coordinate_rows=1 | All relevant candidate rows in the accessible article table were transcribed.
- 2019 | Deep Long Asymmetric Occultation in EPIC 204376071 | key=rappaport2019 | in_screenshots=no | access=accessed | reported/expected=1 object | recovered_coordinate_rows=1 | Paper explicitly treats the dipper phenomenon only as one possible interpretation.
- 2019 | A Search for Analogs of KIC 8462852 (Boyajian's Star): A Proof of Concept and the First Candidates | key=schmidt2019 | in_screenshots=yes | access=accessed | reported/expected=22 | recovered_coordinate_rows=22 | All relevant candidate rows in the accessible article table were transcribed.
- 2020 | The ASAS-SN catalogue of variable stars VIII: Dipper stars in the Lupus star-forming region | key=bredall2020 | in_screenshots=yes | access=accessed | reported/expected=11 | recovered_coordinate_rows=11 | 
- 2020 | A Survey for Variable Young Stars with Small Telescopes II: Mapping a Protoplanetary Disk with Stable Structures at 0.15 au | key=evitts2020 | in_screenshots=no | access=accessed | reported/expected=1 | recovered_coordinate_rows=1 | All relevant candidate rows in the accessible article table were transcribed.
- 2020 | A PSF-based Approach to TESS High quality data Of Stellar clusters (PATHOS) III | key=nardiello2020 | in_screenshots=yes | access=accessed | reported/expected=71 | recovered_coordinate_rows=71 | 
- 2020 | Rotation of Low-Mass Stars in Taurus with K2 | key=rebull2020 | in_screenshots=no | access=accessed | reported/expected=21; 21 Dip=yes rows among 217 Taurus table rows | recovered_coordinate_rows=21 | All 21 Taurus members with the machine-readable Table 2 dip=yes flag.; A rotation paper whose machine-readable table nevertheless supplies a dipper flag.
- 2020 | Dippers from the TESS Full-Frame Images I: Results of the First One Year Data and Discovery of a Runaway Dipper | key=tajiri2020 | in_screenshots=yes | access=accessed | reported/expected=35 | recovered_coordinate_rows=35 | All relevant candidate rows in the accessible article table were transcribed.
- 2020 | An Asymmetric Eclipse Seen Toward the Pre-main-sequence Binary System V928 Tau | key=vandam2020 | in_screenshots=no | access=accessed | reported/expected=1 unresolved binary system | recovered_coordinate_rows=1 | Do not merge components A and B into two confirmed dipper stars; the occulted component is unresolved.
- 2020 | The VMC survey - XXXVI. Young stellar variability in the Large Magellanic Cloud | key=zivkov2020 | in_screenshots=no | access=accessed | reported/expected=7 visually classified NIR dippers among 39 variable high-reliability YSOs | recovered_coordinate_rows=7 | Include only if the master scope is not restricted to Galactic low-mass PMS dippers.
- 2021 | The dipper population of Taurus seen with K2 | key=roggero2021 | in_screenshots=yes | access=accessed | reported/expected=45 | recovered_coordinate_rows=45 | 34 accepted dippers (22 main + 12 secondary-behavior) and 11 low-quality candidates.
- 2021 | Multicolor Variability of Young Stars in the Lagoon Nebula: Driving Causes and Intrinsic Timescales | key=venuti2021 | in_screenshots=no | access=accessed | reported/expected=17; 17 = 10 QPD + 7 APD | recovered_coordinate_rows=17 | 10 QPD plus 7 APD; paper absent from screenshot list.; Coordinates for all 17 are present in the normalized occurrence file.
- 2022 | A Population of Dipper Stars from the Transiting Exoplanet Survey Satellite Mission | key=capistrant2022 | in_screenshots=yes | access=accessed | reported/expected=293 | recovered_coordinate_rows=293 | VarF=D; 59 known and 234 new in the paper.
- 2022 | The Many-Faceted Light Curves of Young Disk-bearing Stars in Taurus as Seen by K2 | key=cody2022 | in_screenshots=no | access=accessed | reported/expected=24; 24 unique dipper-mode stars = 17 primary (8 QPD + 9 APD) + 7 secondary APD classifications | recovered_coordinate_rows=24 | Paper absent from screenshot list.; Distinct from the 2018 Upper Sco/Oph paper visible in the screenshots.
- 2022 | Planetesimals Around Stars with TESS (PAST) II: An M Dwarf Dipper Star with a Long-lived Disk | key=gaidos2022 | in_screenshots=yes | access=accessed | reported/expected=1 | recovered_coordinate_rows=1 | All relevant candidate rows in the accessible article table were transcribed.
- 2022 | A Zwicky Transient Facility Look at Optical Variability of Young Stellar Objects in the North America and Pelican Nebulae Complex | key=hillenbrand2022 | in_screenshots=yes | access=accessed | reported/expected=93 | recovered_coordinate_rows=93 | 62 QPD plus 31 APD.
- 2022 | Dippers from TESS Full-frame Images. II. Spectroscopic Characterization of Four Young Dippers | key=kasagi2022 | in_screenshots=no | access=accessed | reported/expected=4, all already in Tajiri et al. 2020 | recovered_coordinate_rows=4 | Add a second literature-reference occurrence, not a second unique object.
- 2022 | Rotation of Low-mass Stars in Upper Centaurus-Lupus and Lower Centaurus-Crux with TESS | key=rebull2022 | in_screenshots=no | access=accessed | reported/expected=56 Dip-flag rows; 46 member/probable-member and 10 rejected/nonmember table rows | recovered_coordinate_rows=56 | The 10 nonmember/rejected rows should not be silently promoted to UCL/LCC members.
- 2022 | A Second Search for Analogs of KIC 8462852 (Boyajian's Star) | key=schmidt2022 | in_screenshots=no | access=accessed | reported/expected=15 | recovered_coordinate_rows=15 | All relevant candidate rows in the accessible article table were transcribed.
- 2022 | K2 Discovery of a Circumsecondary Disk Transiting EPIC 220208795 | key=vanderkamp2022 | in_screenshots=no | access=accessed | reported/expected=1 object | recovered_coordinate_rows=1 | A circumsecondary-disk eclipse, not a recurring inner-disk YSO dipper population.
- 2022 | Two Candidate KH 15D-like Systems from the Zwicky Transient Facility | key=zhu2022 | in_screenshots=yes | access=accessed | reported/expected=2 | recovered_coordinate_rows=2 | All relevant candidate rows in the accessible article table were transcribed.
- 2023 | NGTS clusters survey IV: Search for Dipper stars in the Orion Nebula Cluster | key=moulton2023 | in_screenshots=yes | access=accessed | reported/expected=129 | recovered_coordinate_rows=129 | 129 Class=D entries; paper reports 120 newly discovered dippers plus 9 training/known objects.
- 2023 | Variability of young stellar objects in the Perseus molecular cloud | key=wang2023 | in_screenshots=yes | access=accessed | reported/expected=25 | recovered_coordinate_rows=25 | 19 QPD plus 6 APD.
- 2024 | The Emerging Stellar Complex in Mon R2: Membership and Optical Variability Classification | key=jiang2024 | in_screenshots=yes | access=accessed | reported/expected=101 | recovered_coordinate_rows=101 | 46 quasi-periodic plus 55 aperiodic dippers.
- 2024 | The Most Variable VVV Sources: Eruptive Protostars, Dipping Giants in the Nuclear Disc and Others | key=lucas2024 | in_screenshots=yes | access=accessed | reported/expected=31 | recovered_coordinate_rows=31 | All relevant candidate rows in the accessible article table were transcribed.
- 2024 | Young stellar objects from the LAMOST and ZTF surveys: Physical properties, classification and light curve analysis | key=zhang2024 | in_screenshots=no | access=accessed | reported/expected=296 = 279 QPD + 17 APD | recovered_coordinate_rows=296 | Abstract says 657 YSOs, while deposited classification table has 659 rows; preserve this catalog discrepancy.
- 2025 | The optical photometric variability of Herbig Ae/Be stars from TESS | key=cody2025 | in_screenshots=no | access=accessed | reported/expected=40 unique TICs ever QPD/APD/QPDC/APDC; 13 have a confident QPD/APD sector and 27 are candidate-only; 40 | recovered_coordinate_rows=40 | Published as ApJ 994, 253; do not count multiple TESS sectors as separate stars.; All relevant candidate rows in the accessible article table were transcribed.
- 2025 | The dance of dust: Investigating young stellar object dipper variability | key=empey2025 | in_screenshots=no | access=accessed | reported/expected=16 previously selected irregular dippers | recovered_coordinate_rows=0 | Adds spectroscopy/dust interpretation, not 16 new unique dippers.
- 2025 | ASASSN-24fw: An 8-month Long, 4.1 mag, Optically Achromatic and Polarized Dimming Event | key=fores2025 | in_screenshots=yes | access=accessed | reported/expected=47 | recovered_coordinate_rows=47 | All relevant candidate rows in the accessible article table were transcribed.
- 2025 | A Systematic Search for Big Dippers in ASAS-SN | key=johantgen2025 | in_screenshots=yes | access=accessed | reported/expected=11 | recovered_coordinate_rows=11 | All relevant candidate rows in the accessible article table were transcribed.
- 2025 | A Systematic Search for Main-sequence Dipper Stars Using the Zwicky Transient Facility | key=tzanidakis2025 | in_screenshots=yes | access=accessed | reported/expected=81 | recovered_coordinate_rows=81 | All relevant candidate rows in the accessible article table were transcribed.
- 2026 | The Circumstellar Environment of the Young, Low-mass Dipper Star JH 223: Accretion and Large-scale Magnetic Field Topology | key=freitas2026 | in_screenshots=no | access=accessed | reported/expected=1 | recovered_coordinate_rows=1 | All relevant candidate rows in the accessible article table were transcribed.
- 2026 | Six New Circumbinary Disk Occultation Candidates from the Zwicky Transient Facility | key=hu2026 | in_screenshots=yes | access=accessed | reported/expected=6 | recovered_coordinate_rows=6 | All relevant candidate rows in the accessible article table were transcribed.
- 2026 | Exploring the variability of young stars with Gaia DR3 light curves | key=mas2026 | in_screenshots=no | access=accessed | reported/expected=6542 = 5439 QPD + 1103 APD; 3708 are primary/high-quality | recovered_coordinate_rows=6542 | Secondary QPD sample has an explicit contamination warning; do not mix it silently with vetted dippers.
- 2026 | EWOCS-VI: Probing the hidden intermediate-mass population of Westerlund 1 | key=ordeneshuanca2026 | in_screenshots=no | access=accessed | reported/expected=44 | recovered_coordinate_rows=44 | Recovered all 44 visually confirmed periodic dippers from Appendix Table 2/table:dippers. All coordinates are finite and in range; all rows satisfy the stated Q<0.8 and M>0.55 cuts; VIRAC2 IDs and sky positions are unique. The paper treats these as proposed binary candidates.
- 2026 | Star formation in the NE-Circinus molecular cloud complex | key=rose2026 | in_screenshots=no | access=accessed | reported/expected=1 newly reported APD: Candidate 16 / AllWISE J152708.71-610319.5 | recovered_coordinate_rows=1 | Published 2026-06-25, only weeks before the audit cutoff; RA=231.7863249 deg, Dec=-61.0554443 deg.
- 2026 | Gaia24ccy: An Outburst Followed the Footsteps of Its Predecessor | key=singh2026 | in_screenshots=no | access=accessed | reported/expected=1 | recovered_coordinate_rows=1 | All relevant candidate rows in the accessible article table were transcribed.
- 2026 | Gaia-GIC-1: An Evolving Catastrophic Planetesimal Collision Candidate | key=tzanidakis2026 | in_screenshots=no | access=accessed | reported/expected=1 | recovered_coordinate_rows=1 | All relevant candidate rows in the accessible article table were transcribed.

PARTIAL CANDIDATE INFORMATION RETRIEVED (4)
===========================================
- 2015 | Near-infrared Variability in the Orion Nebula Cluster | key=rice2015 | in_screenshots=yes | access=accessed | reported/expected=73 periodic AA Tau + 6 irregular dippers | recovered_coordinate_rows=16 | The published VizieR catalog omits the AA-Tau/dipper membership flag. Coordinates are recovered for 10 explicitly plotted periodic examples and all 6 explicitly labelled irregular examples; do not treat as a complete list.
- 2018 | A survey for variable young stars with small telescopes: First results from HOYS-CAPS | key=froebrich2018 | in_screenshots=yes | access=accessed | reported/expected=101 | recovered_coordinate_rows=100 | The paper reports 101 dipper table rows using unrounded M>0.5. The public table has 96 definite rows, including five exact duplicate entries, leaving 91 definite unique sources. Nine additional unique sources print M=0.50; exactly five of the nine satisfy the unrounded cut, but their identities cannot be recovered. All nine are included and explicitly flagged so an exhaustive crossmatch does not miss one.
- 2022 | Infrared variability of young solar analogues in the Lagoon Nebula | key=ordeneshuanca2022 | in_screenshots=no | access=accessed | reported/expected=full dipper subset not stated in accessible table form; full QPD/APD total requires filtering Table A1; paper explicitly reports 15 dippers among 93 WTTSs | recovered_coordinate_rows=0 | Article and source retrieved. Candidate membership is in machine-readable supporting Table A1 (classification QPD/APD); the supporting file endpoint was not accessible in this pass. No coordinates are asserted from incomplete excerpts.; Do not use 15 as the total dipper count; it is only the WTTS subset.
- 2024 | Unveiling the structural content of NGC 6357 via kinematics and NIR variability | key=ordeneshuanca2024 | in_screenshots=no | access=accessed | reported/expected=QPD/APD rows must be filtered from full Table C1 | recovered_coordinate_rows=not yet counted | Paper gives subgroup percentages, not a reliable total catalog count; filter the electronic table.

CANDIDATE INFORMATION NOT RETRIEVED (6)
=======================================
- 1994 | Catalogue of UBVRI photometry of T Tauri stars and analysis of the causes of their variability | key=herbst1994 | in_screenshots=no | access=accessed | reported/expected=not a modern vetted dipper list | recovered_coordinate_rows=0 | Do not label the full T Tauri catalog as dippers.
- 2014 | YSOVAR: Mid-infrared Variability in the Star-forming Region Lynds 1688 | key=gunther2014 | in_screenshots=no | access=accessed | reported/expected=no explicit Cody-style dipper table | recovered_coordinate_rows=0 | Paper was accessible but adopts a different morphology scheme and does not provide a transferable explicit dipper list.
- 2014 | Near-infrared Variability in the rho Ophiuchi Molecular Cloud | key=parks2014 | in_screenshots=no | access=accessed | reported/expected=not stated as a transferable modern dipper list | recovered_coordinate_rows=0 | Screened through later citations; no modern paper-level dipper membership list was recovered in this pass.
- 2017 | Dipper stars in the Upper Sco and rho Oph star forming regions identified from K2 | key=zhangivanov2017 | in_screenshots=no | access=accessed | reported/expected=24 | recovered_coordinate_rows=0 | Full conference paper retrieved. It reports 24 new dippers, but neither a target table nor EPIC/2MASS identifiers are published; Figure 1 uses only internal numbers 1-26. Coordinates cannot be reconstructed from this publication alone.
- 2023 | Time-series Photometry and Multiwavelength Characterization of the Young Stellar Population in Mon R2 | key=orcajo2023 | in_screenshots=no | access=accessed | reported/expected=14 | recovered_coordinate_rows=0 | Paper accessible; it reports 10 multi-event and 4 single-event eclipse/occultation light curves in appendix figures, but no clean machine-readable dipper flag/table was recovered.
- 2024 | A survey for variable young stars with small telescopes - VIII. Properties of 1687 Gaia selected members in 21 nearby clusters | key=froebrich2024 | in_screenshots=no | access=accessed | reported/expected=dippers defined per band as Stetson J>1 and M>0.5; individual total not tabulated | recovered_coordinate_rows=unknown | Important omission. Class boundary is acknowledged as arbitrary; contact authors/use database for a reproducible row list.

PAPER NOT ACCESSIBLE (0)
========================
- None.

NOT ATTEMPTED (26)
==================
- 1991 | Interpreting Epsilon Aurigae | key=carroll1991 | in_screenshots=yes | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | Epsilon Aur is present in the broad inventory.
- 1994 | Additional Periodic Variables in NGC 2264 | key=kearns1994 | in_screenshots=yes | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | Historical KH 15D discovery/context paper; KH 15D is present in the broad inventory.
- 2001 | Eclipses by a Circumstellar Dust Feature in the Pre-main-sequence Star KH 15D | key=hamilton2001 | in_screenshots=yes | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | KH 15D is present in the broad inventory.
- 2002 | Fine Structure in the Circumstellar Environment of a Young, Solar-like Star: The Unique Eclipses of KH 15D | key=herbst2002 | in_screenshots=yes | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | KH 15D is present in the broad inventory.
- 2004 | The Circumbinary Ring of KH 15D | key=chiang2004 | in_screenshots=yes | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | Theory/follow-up; KH 15D is present in the broad inventory.
- 2004 | KH 15D: Gradual Occultation of a Pre-main-sequence Binary | key=winn2004 | in_screenshots=yes | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | KH 15D is present in the broad inventory.
- 2013 | An Active Asteroid Belt Causes the UXOR Phenomenon in RZ Piscium | key=dewit2013 | in_screenshots=yes | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | RZ Psc is present in the broad inventory; this follow-up was not separately mined.
- 2016 | Planet Hunters IX. KIC 8462852: Where's the Flux? | key=boyajian2016 | in_screenshots=yes | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | Boyajian's Star is present through Schmidt et al. as the comparison prototype.
- 2016 | Constraints on the Size and Dynamics of the J1407b Ring System | key=rieder2016 | in_screenshots=yes | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | J1407 is present in the broad inventory; dynamics paper not separately mined.
- 2017 | The Transiting Dust Clumps in the Evolved Disc of the Sun-like UXor RZ Psc | key=kennedy2017 | in_screenshots=yes | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | RZ Psc is present in the broad inventory.
- 2017 | Periodic Eclipses of the Young Star PDS 110 Discovered with WASP and KELT Photometry | key=osborn2017 | in_screenshots=yes | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | PDS 110 is present in the broad inventory.
- 2019 | PATHOS: A PSF-based Approach to TESS High Quality Data of Stellar Clusters | key=nardiello2019 | in_screenshots=yes | access=not_attempted | reported/expected=no dipper candidate table | recovered_coordinate_rows=0 | The screenshot entry is the general PATHOS pipeline paper; PATHOS III supplies the coordinate catalog used here.
- 2019 | The PDS 110 Observing Campaign: Photometric and Spectroscopic Observations Reveal Eclipses Are Aperiodic | key=osborn2019 | in_screenshots=yes | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | PDS 110 is present in the broad inventory.
- 2019 | VVV-WIT-07: Another Boyajian's Star or a Mamajek's Object? | key=saito2019 | in_screenshots=yes | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | VVV-WIT-07 is present through Lucas et al. 2024 and the broad inventory.
- 2020 | The Dipper Light Curve of V715 Per: Is There Dust in the Magnetosphere? | key=nagel2020 | in_screenshots=no | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | Model/follow-up paper; no new population list expected.
- 2021 | Beyond the Dips of V807 Tau: A Spectropolarimetric Study of a Young Dipper | key=pouilly2021 | in_screenshots=no | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | Follow-up paper; no new population list expected.
- 2021 | VVV-WIT-08: The Giant Star That Blinked | key=smith2021 | in_screenshots=yes | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | VVV-WIT-08 is present through Lucas et al. 2024 and the broad inventory.
- 2022 | RZ Piscium Hosts a Compact and Highly Perturbed Debris Disk | key=su2022 | in_screenshots=yes | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | RZ Psc is present in the broad inventory.
- 2023 | A Planetary Collision Afterglow and Transit of the Resultant Debris Cloud | key=kenworthy2023 | in_screenshots=yes | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | ASASSN-21qj is present through the Forés-Toribio inventory; this paper was not separately mined.
- 2023 | Sudden Extreme Obscuration of a Sun-like Main-sequence Star: Evolution of the Circumstellar Dust around ASASSN-21qj | key=marshall2023 | in_screenshots=yes | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | ASASSN-21qj is present in the broad inventory.
- 2023 | Gaia17bpp: A Giant Star with the Deepest and Longest Known Dimming Event | key=tzanidakis2023_gaia17bpp | in_screenshots=yes | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | Gaia17bpp is present through the 2025 long/deep-occultation inventory.
- 2024 | A Dusty Magnetospheric Stream Explaining the Light Curves of Dipper Stars | key=nagel2024 | in_screenshots=no | access=not_attempted | reported/expected=model sample | recovered_coordinate_rows=0 | Model paper; not mined as a discovery catalog.
- 2025 | PENELLOPE VIII: Veiling and Extinction Variations of V505 Ori | key=fuhrmeister2025 | in_screenshots=no | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | Tentative AA Tau-like classification follow-up; no new population list expected.
- 2025 | The Nature of ASASSN-24fw's Occultation: Modelling the Event as Dimming by Optically Thick Rings around a Sub-stellar Companion | key=shah2025 | in_screenshots=yes | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | The target is present through Forés-Toribio et al.
- 2025 | ASASSN-24fw: Candidate Gas-rich Circumsecondary Disk Occultation of a Main-sequence Star | key=zakamska2025 | in_screenshots=yes | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | The target is present through Forés-Toribio et al.; no new candidate list expected.
- 2026 | Multi-pipeline TESS and ATLAS Period Determination for the Runaway Dipper TIC 43488669 | key=greenberg2026 | in_screenshots=no | access=not_attempted | reported/expected=1 | recovered_coordinate_rows=0 | Very recent Research Note; TIC 43488669 is already in Tajiri et al. 2020.

