paper_key,title,year,in_supplied_screenshots,scope_role,retrieval_category,access_status,reported_or_expected_candidates,recovered_coordinate_rows,source_url,data_url,notes
rice2015,Near-infrared Variability in the Orion Nebula Cluster,2015,yes,coordinate_catalog,partial_candidate_information_retrieved,accessed,73 periodic AA Tau + 6 irregular dippers,16,https://arxiv.org/abs/1505.01495,,The published VizieR catalog omits the AA-Tau/dipper membership flag. Coordinates are recovered for 10 explicitly plotted periodic examples and all 6 explicitly labelled irregular examples; do not treat as a complete list.
stauffer2015,CSI 2264: Characterizing Young Stars in NGC 2264 with Short-duration Periodic Flux Dips,2015,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,18,18,https://arxiv.org/abs/1501.06609,,9 main short-duration periodic dip stars plus 9 isolated-dip Appendix objects.
ansdell2016,Young Dipper Stars in Upper Sco and rho Oph Observed by K2,2016,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,10,10,https://arxiv.org/abs/1510.08853,,
ansdell2016_inclinations,Dipper Disks Not Inclined towards Edge-on Orbits,2016,no,follow_up_no_new_candidates,all_candidate_information_retrieved,accessed,3,0,https://arxiv.org/abs/1607.03115,,The three targets are contained in the Ansdell/Bodman occurrence set; no new unique stars.
boyajian2016,Planet Hunters IX. KIC 8462852: Where's the Flux?,2016,yes,single_object_discovery,not_attempted,not_attempted,1,0,https://doi.org/10.1093/mnras/stw2187,,Boyajian's Star is present through Schmidt et al. as the comparison prototype.
rieder2016,Constraints on the Size and Dynamics of the J1407b Ring System,2016,yes,single_object_follow_up,not_attempted,not_attempted,1,0,https://doi.org/10.1093/mnras/stw072,,J1407 is present in the broad inventory; dynamics paper not separately mined.
scaringi2016,The peculiar dipping events in the disc-bearing young-stellar object EPIC 204278916,2016,no,coordinate_catalog,all_candidate_information_retrieved,accessed,1 object,1,https://doi.org/10.1093/mnras/stw2155,,"Not a population catalog, but a relevant discovery paper absent from the screenshots."
bodman2017,Dippers and dusty disc edges: new diagnostics and comparison to model predictions,2017,no,coordinate_catalog,all_candidate_information_retrieved,accessed,25,25,https://arxiv.org/abs/1605.03985,,"Recovered all 25 stars from Table 1. The first 10 are the Ansdell et al. (2016) well-characterized subset; the remaining 15 are the additional discovery-set objects omitted from that detailed characterization table. Each row has a unique EPIC ID, 2MASS ID and sky position. Coordinates are encoded by the published 2MASS PSC designations (0.01 s RA, 0.1 arcsec Dec precision). Final journal DOI: 10.1093/mnras/stx1034."
contreraspena2017,A Population of Eruptive Variable Protostars in VVV,2017,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,45,45,https://arxiv.org/abs/1602.06267,,All relevant candidate rows in the accessible article table were transcribed.
david2017,A Transient Transit Signature Associated with the Young Star RIK-210,2017,no,coordinate_catalog,all_candidate_information_retrieved,accessed,1 object,1,https://doi.org/10.3847/1538-4357/835/2/168,https://arxiv.org/abs/1612.03907,Keep separate from inner-protoplanetary-disk dippers because the star lacks a conventional inner-disk excess.
kennedy2017,The Transiting Dust Clumps in the Evolved Disc of the Sun-like UXor RZ Psc,2017,yes,single_object_follow_up,not_attempted,not_attempted,1,0,https://doi.org/10.1093/mnras/stx2429,,RZ Psc is present in the broad inventory.
osborn2017,Periodic Eclipses of the Young Star PDS 110 Discovered with WASP and KELT Photometry,2017,yes,single_object_discovery,not_attempted,not_attempted,1,0,https://doi.org/10.1093/mnras/stx1249,,PDS 110 is present in the broad inventory.
rodriguez2017taurus,Identification of Young Stellar Variables with KELT for K2 I: Taurus Dippers and Rotators,2017,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,5,5,https://cdsarc.cds.unistra.fr/ftp/J/ApJ/848/97/,,
rodriguez2017usco,Identification of Young Stellar Variables with KELT for K2 II: The Upper Scorpius Association,2017,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,4,4,https://arxiv.org/abs/1707.07313,,Recovered all four physical sources from Section 4.3 and the source table. Excluded blended neighbour J16042097-2130415 because the paper attributes the dips to J16042165-2130284.
zhangivanov2017,Dipper stars in the Upper Sco and rho Oph star forming regions identified from K2,2017,no,coordinate_catalog,candidate_information_not_retrieved,accessed,24,0,https://www.epj-conferences.org/articles/epjconf/pdf/2017/21/epjconf_puls2017_03014.pdf,,"Full conference paper retrieved. It reports 24 new dippers, but neither a target table nor EPIC/2MASS identifiers are published; Figure 1 uses only internal numbers 1-26. Coordinates cannot be reconstructed from this publication alone."
cody2018,The Many-faceted Light Curves of Young Disk-bearing Stars in Upper Sco-Oph Observed by K2 Campaign 2,2018,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,94,94,https://cdsarc.cds.unistra.fr/ftp/J/AJ/156/71/,,49 QPD plus 45 APD.
froebrich2018,A survey for variable young stars with small telescopes: First results from HOYS-CAPS,2018,yes,coordinate_catalog,partial_candidate_information_retrieved,accessed,101,100,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/478/5091/,,"The paper reports 101 dipper table rows using unrounded M>0.5. The public table has 96 definite rows, including five exact duplicate entries, leaving 91 definite unique sources. Nine additional unique sources print M=0.50; exactly five of the nine satisfy the unrounded cut, but their identities cannot be recovered. All nine are included and explicitly flagged so an exhaustive crossmatch does not miss one."
hedges2018,Discovery of New Dipper Stars with K2,2018,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,95,95,https://arxiv.org/abs/1802.00409,,70 new objects plus 25 known/training examples.
rebull2018,Rotation of Low-mass Stars in Upper Scorpius and rho Ophiuchus with K2,2018,no,coordinate_catalog,all_candidate_information_retrieved,accessed,83 Dip=yes rows,83,https://doi.org/10.3847/1538-3881/aab605,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/155/196,"Distinct coordinate catalog from Ansdell et al. 2016 and Cody & Hillenbrand 2018, both visible in the screenshots."
ansdell2019,The Little Dippers: Transits of Star-grazing Exocomets?,2019,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,2,2,https://arxiv.org/abs/1811.12414,,
gaidos2019,Planetesimals Around Stars with TESS (PAST) I: Transient Dimming of a Binary Solar Analog at the End of the Planet Accretion Era,2019,no,coordinate_catalog,all_candidate_information_retrieved,accessed,1,1,https://arxiv.org/abs/1907.02476,,All relevant candidate rows in the accessible article table were transcribed.
nardiello2019,PATHOS: A PSF-based Approach to TESS High Quality Data of Stellar Clusters,2019,yes,pipeline_or_context,not_attempted,not_attempted,no dipper candidate table,0,,,The screenshot entry is the general PATHOS pipeline paper; PATHOS III supplies the coordinate catalog used here.
osborn2019,The PDS 110 Observing Campaign: Photometric and Spectroscopic Observations Reveal Eclipses Are Aperiodic,2019,yes,single_object_follow_up,not_attempted,not_attempted,1,0,https://doi.org/10.1093/mnras/stz1764,,PDS 110 is present in the broad inventory.
rappaport2019,Deep Long Asymmetric Occultation in EPIC 204376071,2019,no,coordinate_catalog,all_candidate_information_retrieved,accessed,1 object,1,https://doi.org/10.1093/mnras/stz537,https://arxiv.org/abs/1902.08152,Paper explicitly treats the dipper phenomenon only as one possible interpretation.
saito2019,VVV-WIT-07: Another Boyajian's Star or a Mamajek's Object?,2019,yes,single_object_discovery,not_attempted,not_attempted,1,0,https://doi.org/10.1093/mnras/stz1968,,VVV-WIT-07 is present through Lucas et al. 2024 and the broad inventory.
schmidt2019,A Search for Analogs of KIC 8462852 (Boyajian's Star): A Proof of Concept and the First Candidates,2019,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,22,22,https://doi.org/10.3847/2041-8213/ab2e77,,All relevant candidate rows in the accessible article table were transcribed.
bredall2020,The ASAS-SN catalogue of variable stars VIII: Dipper stars in the Lupus star-forming region,2020,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,11,11,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/496/3257/,,
evitts2020,A Survey for Variable Young Stars with Small Telescopes II: Mapping a Protoplanetary Disk with Stable Structures at 0.15 au,2020,no,coordinate_catalog,all_candidate_information_retrieved,accessed,1,1,https://doi.org/10.1093/mnras/stz3335,,All relevant candidate rows in the accessible article table were transcribed.
nagel2020,The Dipper Light Curve of V715 Per: Is There Dust in the Magnetosphere?,2020,no,single_object_follow_up,not_attempted,not_attempted,1,0,https://arxiv.org/abs/2010.05973,,Model/follow-up paper; no new population list expected.
nardiello2020,A PSF-based Approach to TESS High quality data Of Stellar clusters (PATHOS) III,2020,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,71,71,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/498/5972/,,
rebull2020,Rotation of Low-Mass Stars in Taurus with K2,2020,no,coordinate_catalog,all_candidate_information_retrieved,accessed,21; 21 Dip=yes rows among 217 Taurus table rows,21,https://cdsarc.cds.unistra.fr/ftp/J/AJ/159/273/; https://doi.org/10.3847/1538-3881/ab893c,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/159/273,All 21 Taurus members with the machine-readable Table 2 dip=yes flag.; A rotation paper whose machine-readable table nevertheless supplies a dipper flag.
tajiri2020,Dippers from the TESS Full-Frame Images I: Results of the First One Year Data and Discovery of a Runaway Dipper,2020,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,35,35,https://arxiv.org/abs/2009.12830,,All relevant candidate rows in the accessible article table were transcribed.
vandam2020,An Asymmetric Eclipse Seen Toward the Pre-main-sequence Binary System V928 Tau,2020,no,coordinate_catalog,all_candidate_information_retrieved,accessed,1 unresolved binary system,1,https://doi.org/10.3847/1538-3881/abc259,https://arxiv.org/abs/2010.11199,Do not merge components A and B into two confirmed dipper stars; the occulted component is unresolved.
zivkov2020,The VMC survey - XXXVI. Young stellar variability in the Large Magellanic Cloud,2020,no,coordinate_catalog,all_candidate_information_retrieved,accessed,7 visually classified NIR dippers among 39 variable high-reliability YSOs,7,https://doi.org/10.1093/mnras/staa626,https://arxiv.org/abs/2002.12291,Include only if the master scope is not restricted to Galactic low-mass PMS dippers.
pouilly2021,Beyond the Dips of V807 Tau: A Spectropolarimetric Study of a Young Dipper,2021,no,single_object_follow_up,not_attempted,not_attempted,1,0,https://doi.org/10.1051/0004-6361/202141373,,Follow-up paper; no new population list expected.
roggero2021,The dipper population of Taurus seen with K2,2021,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,45,45,https://www.aanda.org/articles/aa/full_html/2021/07/aa40646-21/aa40646-21.html,,34 accepted dippers (22 main + 12 secondary-behavior) and 11 low-quality candidates.
smith2021,VVV-WIT-08: The Giant Star That Blinked,2021,yes,single_object_discovery,not_attempted,not_attempted,1,0,https://doi.org/10.1093/mnras/stab2586,,VVV-WIT-08 is present through Lucas et al. 2024 and the broad inventory.
venuti2021,Multicolor Variability of Young Stars in the Lagoon Nebula: Driving Causes and Intrinsic Timescales,2021,no,coordinate_catalog,all_candidate_information_retrieved,accessed,17; 17 = 10 QPD + 7 APD,17,https://cdsarc.cds.unistra.fr/ftp/J/AJ/162/101/; https://doi.org/10.3847/1538-3881/ac0536,https://cdsarc.cds.unistra.fr/ftp/J/AJ/162/101/table1.dat,10 QPD plus 7 APD; paper absent from screenshot list.; Coordinates for all 17 are present in the normalized occurrence file.
capistrant2022,A Population of Dipper Stars from the Transiting Exoplanet Survey Satellite Mission,2022,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,293,293,https://cdsarc.cds.unistra.fr/ftp/J/ApJS/263/14/,,VarF=D; 59 known and 234 new in the paper.
cody2022,The Many-Faceted Light Curves of Young Disk-bearing Stars in Taurus as Seen by K2,2022,no,coordinate_catalog,all_candidate_information_retrieved,accessed,24; 24 unique dipper-mode stars = 17 primary (8 QPD + 9 APD) + 7 secondary APD classifications,24,https://arxiv.org/abs/2204.06646; https://doi.org/10.3847/1538-3881/ac5b73,https://arxiv.org/abs/2204.06646,Paper absent from screenshot list.; Distinct from the 2018 Upper Sco/Oph paper visible in the screenshots.
gaidos2022,Planetesimals Around Stars with TESS (PAST) II: An M Dwarf Dipper Star with a Long-lived Disk,2022,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,1,1,https://arxiv.org/abs/2204.14163,,All relevant candidate rows in the accessible article table were transcribed.
hillenbrand2022,A Zwicky Transient Facility Look at Optical Variability of Young Stellar Objects in the North America and Pelican Nebulae Complex,2022,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,93,93,https://cdsarc.cds.unistra.fr/ftp/J/AJ/163/263/,,62 QPD plus 31 APD.
kasagi2022,Dippers from TESS Full-frame Images. II. Spectroscopic Characterization of Four Young Dippers,2022,no,follow_up_or_context,all_candidate_information_retrieved,accessed,"4, all already in Tajiri et al. 2020",4,https://doi.org/10.3847/1538-4365/ac4e8b,https://arxiv.org/abs/2201.09459,"Add a second literature-reference occurrence, not a second unique object."
ordeneshuanca2022,Infrared variability of young solar analogues in the Lagoon Nebula,2022,no,coordinate_catalog,partial_candidate_information_retrieved,accessed,full dipper subset not stated in accessible table form; full QPD/APD total requires filtering Table A1; paper explicitly reports 15 dippers among 93 WTTSs,0,https://arxiv.org/abs/2210.09242; https://doi.org/10.1093/mnras/stac3049,https://arxiv.org/abs/2210.09242,Article and source retrieved. Candidate membership is in machine-readable supporting Table A1 (classification QPD/APD); the supporting file endpoint was not accessible in this pass. No coordinates are asserted from incomplete excerpts.; Do not use 15 as the total dipper count; it is only the WTTS subset.
rebull2022,Rotation of Low-mass Stars in Upper Centaurus-Lupus and Lower Centaurus-Crux with TESS,2022,no,coordinate_catalog,all_candidate_information_retrieved,accessed,56 Dip-flag rows; 46 member/probable-member and 10 rejected/nonmember table rows,56,https://doi.org/10.3847/1538-3881/ac75f1,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/164/80,The 10 nonmember/rejected rows should not be silently promoted to UCL/LCC members.
schmidt2022,A Second Search for Analogs of KIC 8462852 (Boyajian's Star),2022,no,coordinate_catalog,all_candidate_information_retrieved,accessed,15,15,https://doi.org/10.3847/1538-3881/ac3416,,All relevant candidate rows in the accessible article table were transcribed.
su2022,RZ Piscium Hosts a Compact and Highly Perturbed Debris Disk,2022,yes,single_object_follow_up,not_attempted,not_attempted,1,0,https://doi.org/10.3847/1538-4357/ac3b5e,,RZ Psc is present in the broad inventory.
vanderkamp2022,K2 Discovery of a Circumsecondary Disk Transiting EPIC 220208795,2022,no,coordinate_catalog,all_candidate_information_retrieved,accessed,1 object,1,https://arxiv.org/abs/2110.15086,,"A circumsecondary-disk eclipse, not a recurring inner-disk YSO dipper population."
zhu2022,Two Candidate KH 15D-like Systems from the Zwicky Transient Facility,2022,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,2,2,https://arxiv.org/abs/2206.00813,,All relevant candidate rows in the accessible article table were transcribed.
kenworthy2023,A Planetary Collision Afterglow and Transit of the Resultant Debris Cloud,2023,yes,single_object_follow_up,not_attempted,not_attempted,1,0,https://doi.org/10.1038/s41586-023-06573-9,,ASASSN-21qj is present through the Forés-Toribio inventory; this paper was not separately mined.
marshall2023,Sudden Extreme Obscuration of a Sun-like Main-sequence Star: Evolution of the Circumstellar Dust around ASASSN-21qj,2023,yes,single_object_follow_up,not_attempted,not_attempted,1,0,https://doi.org/10.3847/2041-8213/ad04dc,,ASASSN-21qj is present in the broad inventory.
moulton2023,NGTS clusters survey IV: Search for Dipper stars in the Orion Nebula Cluster,2023,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,129,129,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/521/1700/,,129 Class=D entries; paper reports 120 newly discovered dippers plus 9 training/known objects.
orcajo2023,Time-series Photometry and Multiwavelength Characterization of the Young Stellar Population in Mon R2,2023,no,regional_occultation_candidates,candidate_information_not_retrieved,accessed,14,0,https://doi.org/10.1093/mnras/stad1891,,"Paper accessible; it reports 10 multi-event and 4 single-event eclipse/occultation light curves in appendix figures, but no clean machine-readable dipper flag/table was recovered."
tzanidakis2023_gaia17bpp,Gaia17bpp: A Giant Star with the Deepest and Longest Known Dimming Event,2023,yes,single_object_discovery,not_attempted,not_attempted,1,0,https://doi.org/10.3847/1538-4357/acefce,,Gaia17bpp is present through the 2025 long/deep-occultation inventory.
wang2023,Variability of young stellar objects in the Perseus molecular cloud,2023,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,25,25,https://arxiv.org/abs/2305.02514,,19 QPD plus 6 APD.
froebrich2024,A survey for variable young stars with small telescopes - VIII. Properties of 1687 Gaia selected members in 21 nearby clusters,2024,no,coordinate_catalog,candidate_information_not_retrieved,accessed,dippers defined per band as Stetson J>1 and M>0.5; individual total not tabulated,unknown,https://doi.org/10.1093/mnras/stae311,http://astro.kent.ac.uk/HOYS-CAPS/,Important omission. Class boundary is acknowledged as arbitrary; contact authors/use database for a reproducible row list.
jiang2024,The Emerging Stellar Complex in Mon R2: Membership and Optical Variability Classification,2024,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,101,101,https://cdsarc.cds.unistra.fr/ftp/J/AJ/167/221/,,46 quasi-periodic plus 55 aperiodic dippers.
lucas2024,"The Most Variable VVV Sources: Eruptive Protostars, Dipping Giants in the Nuclear Disc and Others",2024,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,31,31,https://arxiv.org/abs/2401.14471,,All relevant candidate rows in the accessible article table were transcribed.
nagel2024,A Dusty Magnetospheric Stream Explaining the Light Curves of Dipper Stars,2024,no,theory_or_model,not_attempted,not_attempted,model sample,0,https://doi.org/10.1051/0004-6361/202449792,,Model paper; not mined as a discovery catalog.
ordeneshuanca2024,Unveiling the structural content of NGC 6357 via kinematics and NIR variability,2024,no,coordinate_catalog,partial_candidate_information_retrieved,accessed,QPD/APD rows must be filtered from full Table C1,not yet counted,https://doi.org/10.1093/mnras/stae1862,https://academic.oup.com/mnras/article/533/1/841/7725824,"Paper gives subgroup percentages, not a reliable total catalog count; filter the electronic table."
zhang2024,"Young stellar objects from the LAMOST and ZTF surveys: Physical properties, classification and light curve analysis",2024,no,coordinate_catalog,all_candidate_information_retrieved,accessed,296 = 279 QPD + 17 APD,296,https://doi.org/10.1051/0004-6361/202349114,https://cdsarc.cds.unistra.fr/ftp/J/A+A/686/A269/table5.dat,"Abstract says 657 YSOs, while deposited classification table has 659 rows; preserve this catalog discrepancy."
cody2025,The optical photometric variability of Herbig Ae/Be stars from TESS,2025,no,coordinate_catalog,all_candidate_information_retrieved,accessed,40 unique TICs ever QPD/APD/QPDC/APDC; 13 have a confident QPD/APD sector and 27 are candidate-only; 40,40,https://arxiv.org/abs/2510.08633,https://doi.org/10.17909/fkzx-2z29,"Published as ApJ 994, 253; do not count multiple TESS sectors as separate stars.; All relevant candidate rows in the accessible article table were transcribed."
empey2025,The dance of dust: Investigating young stellar object dipper variability,2025,no,follow_up_or_context,all_candidate_information_retrieved,accessed,16 previously selected irregular dippers,0,https://doi.org/10.1051/0004-6361/202556661,https://arxiv.org/abs/2510.26449,"Adds spectroscopy/dust interpretation, not 16 new unique dippers."
fores2025,"ASASSN-24fw: An 8-month Long, 4.1 mag, Optically Achromatic and Polarized Dimming Event",2025,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,47,47,https://arxiv.org/abs/2507.03080,,All relevant candidate rows in the accessible article table were transcribed.
fuhrmeister2025,PENELLOPE VIII: Veiling and Extinction Variations of V505 Ori,2025,no,single_object_follow_up,not_attempted,not_attempted,1,0,https://doi.org/10.1051/0004-6361/202556230,,Tentative AA Tau-like classification follow-up; no new population list expected.
johantgen2025,A Systematic Search for Big Dippers in ASAS-SN,2025,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,11,11,https://arxiv.org/abs/2507.19594,,All relevant candidate rows in the accessible article table were transcribed.
shah2025,The Nature of ASASSN-24fw's Occultation: Modelling the Event as Dimming by Optically Thick Rings around a Sub-stellar Companion,2025,yes,single_object_follow_up,not_attempted,not_attempted,1,0,,,The target is present through Forés-Toribio et al.
tzanidakis2025,A Systematic Search for Main-sequence Dipper Stars Using the Zwicky Transient Facility,2025,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,81,81,https://doi.org/10.3847/1538-4357/adf5bb,,All relevant candidate rows in the accessible article table were transcribed.
zakamska2025,ASASSN-24fw: Candidate Gas-rich Circumsecondary Disk Occultation of a Main-sequence Star,2025,yes,single_object_follow_up,not_attempted,not_attempted,1,0,,,The target is present through Forés-Toribio et al.; no new candidate list expected.
freitas2026,"The Circumstellar Environment of the Young, Low-mass Dipper Star JH 223: Accretion and Large-scale Magnetic Field Topology",2026,no,coordinate_catalog,all_candidate_information_retrieved,accessed,1,1,https://arxiv.org/abs/2604.22222,,All relevant candidate rows in the accessible article table were transcribed.
greenberg2026,Multi-pipeline TESS and ATLAS Period Determination for the Runaway Dipper TIC 43488669,2026,no,single_object_follow_up,not_attempted,not_attempted,1,0,https://doi.org/10.3847/2515-5172/ae7322,,Very recent Research Note; TIC 43488669 is already in Tajiri et al. 2020.
hu2026,Six New Circumbinary Disk Occultation Candidates from the Zwicky Transient Facility,2026,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,6,6,https://arxiv.org/abs/2601.16828,,All relevant candidate rows in the accessible article table were transcribed.
mas2026,Exploring the variability of young stars with Gaia DR3 light curves,2026,no,coordinate_catalog,all_candidate_information_retrieved,accessed,6542 = 5439 QPD + 1103 APD; 3708 are primary/high-quality,6542,https://doi.org/10.1051/0004-6361/202554522,https://cdsarc.cds.unistra.fr/ftp/J/A+A/705/A172/tabled1.dat.gz,Secondary QPD sample has an explicit contamination warning; do not mix it silently with vetted dippers.
ordeneshuanca2026,EWOCS-VI: Probing the hidden intermediate-mass population of Westerlund 1,2026,no,coordinate_catalog,all_candidate_information_retrieved,accessed,44,44,https://arxiv.org/abs/2606.27623,,Recovered all 44 visually confirmed periodic dippers from Appendix Table 2/table:dippers. All coordinates are finite and in range; all rows satisfy the stated Q<0.8 and M>0.55 cuts; VIRAC2 IDs and sky positions are unique. The paper treats these as proposed binary candidates.
rose2026,Star formation in the NE-Circinus molecular cloud complex,2026,no,coordinate_catalog,all_candidate_information_retrieved,accessed,1 newly reported APD: Candidate 16 / AllWISE J152708.71-610319.5,1,https://doi.org/10.1093/mnras/stag1212,https://doi.org/10.5281/zenodo.19904310,"Published 2026-06-25, only weeks before the audit cutoff; RA=231.7863249 deg, Dec=-61.0554443 deg."
singh2026,Gaia24ccy: An Outburst Followed the Footsteps of Its Predecessor,2026,no,coordinate_catalog,all_candidate_information_retrieved,accessed,1,1,https://arxiv.org/abs/2602.16791,,All relevant candidate rows in the accessible article table were transcribed.
tzanidakis2026,Gaia-GIC-1: An Evolving Catastrophic Planetesimal Collision Candidate,2026,no,coordinate_catalog,all_candidate_information_retrieved,accessed,1,1,https://arxiv.org/abs/2603.10952,,All relevant candidate rows in the accessible article table were transcribed.
