# Dipper literature coordinate list
# Literature search cutoff: 2026-07-16
# Coordinates are decimal degrees, ICRS/J2000-style as published; epochs are mixed and no proper-motion propagation was applied.
# One line per spatially deduplicated source/system (2.0 arcsec cross-paper radius, protected against merging two rows from the same paper).
# master_id | canonical_name | ra_deg | dec_deg | evidence_tier | explicit_dipper | core_yso | recommended_crossmatch | papers
DIP-00001 | Gaia DR3 432345328009409152 | 0.0779345500 | 66.3972796900 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00002 | Gaia DR3 528422646908470528 | 0.1113249800 | 66.4818192400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00003 | Gaia DR3 528573859823454336 | 0.1585855200 | 67.4606872400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00004 | Gaia DR3 432202116625051520 | 0.1647504300 | 65.5233803300 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00005 | Gaia DR3 528608842330867584 | 0.1913622500 | 67.8756423700 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00006 | Gaia DR3 528984905368152448 | 0.1933864000 | 67.9758877200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00007 | Gaia DR3 529133889193980032 | 0.2235327600 | 68.8536276400 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00008 | Gaia DR3 528573589239425280 | 0.2606020800 | 67.4781598800 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00009 | Gaia DR3 422768650456041216 | 0.2861582600 | 58.6936809300 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00010 | Gaia DR3 528564586988521856 | 0.3140302600 | 67.2760082600 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00011 | Gaia DR3 528992739388622592 | 0.3211296900 | 68.0557968700 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00012 | Gaia DR3 528992881126855680 | 0.3273374300 | 68.0847592200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00013 | Gaia DR3 528986627654519296 | 0.3485945100 | 68.0013591300 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00014 | Gaia DR3 528992022133372672 | 0.3986383000 | 68.1415547500 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00015 | Gaia DR3 528568022957822720 | 0.4064456100 | 67.3247952200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00016 | Gaia DR3 528464771947586560 | 0.4294647600 | 67.0732794100 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00017 | Gaia DR3 528429445843754368 | 0.4307320100 | 66.6799054400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00018 | Gaia DR3 528593792765605504 | 0.4515589400 | 67.4578460100 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00019 | Gaia DR3 528594303866178176 | 0.4660606000 | 67.5312833200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00020 | Gaia DR3 528602412763568768 | 0.4755553600 | 67.6413359700 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00021 | Gaia DR3 528594273801921664 | 0.4779999800 | 67.5137328900 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00022 | Gaia DR3 393297134619869440 | 0.4784203200 | 48.0047080300 | automated_primary | yes | yes | yes | zhang2024 (2024); mas2026 (2026)
DIP-00023 | Gaia DR3 528569977178654464 | 0.4795289100 | 67.4144708400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00024 | Gaia DR3 528570080248270464 | 0.4818817100 | 67.4219610900 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00025 | Gaia DR3 528567778145785984 | 0.4892969300 | 67.3161228900 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00026 | Gaia DR3 528602378403824896 | 0.5005068200 | 67.6277354200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00027 | Gaia DR3 528595751270664192 | 0.5393623400 | 67.5424358600 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00028 | Gaia DR3 432337665787789312 | 0.5444774600 | 66.1586328500 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00029 | Gaia DR3 528569259912440192 | 0.5499297900 | 67.4064060900 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00030 | Gaia DR3 528604684802570496 | 0.5535706300 | 67.7427524300 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00031 | Gaia DR3 528569289976587008 | 0.5544849600 | 67.4153995600 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00032 | Gaia DR3 528569259912446720 | 0.5609676200 | 67.3983956800 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00033 | Gaia DR3 529158701223590144 | 0.5662789100 | 69.0234506400 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00034 | Gaia DR3 528592761973476480 | 0.5704760900 | 67.4238966400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00035 | Gaia DR3 528592757675003648 | 0.5830590900 | 67.4197564300 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00036 | Gaia DR3 528592933768000896 | 0.5876446900 | 67.4534183800 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00037 | Gaia DR3 528593341792549376 | 0.5940641000 | 67.4799169700 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00038 | Gaia DR3 528568538357967616 | 0.5996828800 | 67.3335011200 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00039 | Gaia DR3 529015524194394752 | 0.6022399400 | 68.2071112400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00040 | Gaia DR3 528560287722554624 | 0.6059151400 | 67.1957107500 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00041 | Gaia DR3 529024487787714560 | 0.6117302300 | 68.4320438200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00042 | Gaia DR3 528592688955519872 | 0.6197430700 | 67.4062511500 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00043 | Gaia DR3 528592860754236032 | 0.6296518800 | 67.4487035600 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00044 | Gaia DR3 528593410512027264 | 0.6313338200 | 67.4841736700 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00045 | Gaia DR3 528569225552713728 | 0.6349933800 | 67.3964708500 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00046 | Gaia DR3 528602176541709568 | 0.6451665600 | 67.6619130900 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00047 | Gaia DR3 528568985030486272 | 0.6452446900 | 67.3749563500 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00048 | Gaia DR3 528593071211630976 | 0.6695043400 | 67.4597692100 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00049 | Gaia DR3 529023667452308096 | 0.6737846800 | 68.3745575700 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00050 | Gaia DR3 528601278892178432 | 0.6797403600 | 67.5823344800 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00051 | Gaia DR3 528601420627480960 | 0.6829994300 | 67.6105242400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00052 | Gaia DR3 528592482797083136 | 0.6832083500 | 67.3892803300 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00053 | Gaia DR3 528988478782650624 | 0.7004843000 | 67.9920049100 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00054 | Gaia DR3 528604100687026688 | 0.7011185400 | 67.7444224600 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00055 | Gaia DR3 528594617399330432 | 0.7033953000 | 67.4838128400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00056 | Gaia DR3 528594613102876416 | 0.7043017900 | 67.4878569900 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00057 | Gaia DR3 2848218557459663488 | 0.7107131400 | 23.6077627100 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00058 | Gaia DR3 528582999511309696 | 0.7493473500 | 67.4901104000 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00059 | Gaia DR3 528554931901603072 | 0.7777438100 | 67.2683367600 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00060 | Gaia DR3 528557126627200256 | 0.7888386300 | 67.3607581500 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00061 | Gaia DR3 528580632985867264 | 0.7900444900 | 67.3808814000 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00062 | Gaia DR3 528967656781422848 | 0.7956837100 | 67.7536763800 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00063 | Gaia DR3 528580766126306816 | 0.7997888800 | 67.4026909200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00064 | Gaia DR3 528583519203820928 | 0.8086097100 | 67.5387311700 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00065 | Gaia DR3 528589429078813440 | 0.8179421200 | 67.5569705800 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00066 | Gaia DR3 528439753759823104 | 0.8480562000 | 66.6287502200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00067 | Gaia DR3 528976354092811008 | 0.8534065500 | 67.9397878300 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00068 | TIC 347007416 | 0.8631000000 | 55.5509000000 | author_vetted_or_explicit | yes | yes | yes | capistrant2022 (2022)
DIP-00069 | Gaia DR3 423137227368943872 | 0.8939636300 | 58.7944940300 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00070 | Gaia DR3 386672680140403456 | 0.9075734200 | 45.9601531100 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00071 | Gaia DR3 528966591630105472 | 0.9685634400 | 67.7020824100 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00072 | Gaia DR3 528412747005304448 | 0.9925878200 | 66.4275968200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00073 | Gaia DR3 529110077895048704 | 1.0077334400 | 68.5761648500 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00074 | Gaia DR3 529109596858989184 | 1.0316381600 | 68.5569406000 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00075 | Gaia DR3 528966492847972352 | 1.0342357600 | 67.7209530200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00076 | Gaia DR3 529107981950942080 | 1.0419548600 | 68.5145460900 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00077 | Gaia DR3 529109596859011200 | 1.0511033400 | 68.5467057800 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00078 | Gaia DR3 529109493779803392 | 1.0582961300 | 68.5393293000 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00079 | Gaia DR3 528581973015658112 | 1.0586315800 | 67.4366726800 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00080 | Gaia DR3 528587328838770560 | 1.1683635300 | 67.5760175200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00081 | Gaia DR3 420272754757906816 | 1.1823276300 | 54.2072048400 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00082 | Gaia DR3 529010095356009984 | 1.2141359600 | 68.3705821500 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00083 | Gaia DR3 529001196183818624 | 1.2206425000 | 68.1608062600 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00084 | TIC 347113611 | 1.2725000000 | 59.6505000000 | author_vetted_or_explicit | yes | yes | yes | capistrant2022 (2022)
DIP-00085 | Gaia DR3 432286843437694336 | 1.3013602400 | 65.6861863300 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00086 | Gaia DR3 528962880778340224 | 1.3166602100 | 67.6856051100 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00087 | Gaia DR3 528971470713182208 | 1.3768781600 | 67.8245799300 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00088 | TIC 406956018 | 1.5058000000 | 60.8672000000 | author_vetted_or_explicit | yes | yes | yes | capistrant2022 (2022)
DIP-00089 | Gaia DR3 528917079247052672 | 1.5533803100 | 67.6547220200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00090 | Gaia DR3 528539087765979392 | 1.6487831800 | 67.4800883400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00091 | Gaia DR3 528923401439017088 | 1.6629721000 | 67.7221973400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00092 | Gaia DR3 528535686149294592 | 1.7291802100 | 67.3499987600 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00093 | Gaia DR3 529055175332100096 | 1.7886991500 | 68.3201492300 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00094 | Gaia DR3 432259325584511616 | 1.8046150000 | 65.6222619500 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00095 | Gaia DR3 529054655637421952 | 1.8067643400 | 68.2833905000 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00096 | Gaia DR3 528951443279040256 | 1.8460296800 | 68.0058183100 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00097 | Gaia DR3 528922168785712640 | 1.9230154900 | 67.8176064100 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00098 | TIC 359343200 | 1.9832000000 | 65.5667000000 | author_vetted_or_explicit | yes | yes | yes | capistrant2022 (2022)
DIP-00099 | Gaia DR3 528522187071088000 | 2.1497128700 | 67.0307541900 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00100 | Gaia DR3 422907017122217472 | 2.1956171300 | 58.6830269600 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00101 | Gaia DR3 422915229099657984 | 2.2581931700 | 58.8242260800 | automated_primary | yes | yes | yes | zhang2024 (2024); mas2026 (2026)
DIP-00102 | TIC 396300606 | 2.2702000000 | 58.2800000000 | author_vetted_or_explicit | yes | yes | yes | capistrant2022 (2022)
DIP-00103 | Gaia DR3 528944086002053632 | 2.2730890200 | 68.0938345500 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00104 | Gaia DR3 528943540542920192 | 2.2827827800 | 68.0444018400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00105 | Gaia DR3 528941405942326016 | 2.3210530100 | 67.9535408900 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00106 | Gaia DR3 528935122407074816 | 2.3679913700 | 67.8832128400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00107 | TIC 396300742 | 2.4065000000 | 58.2197000000 | author_vetted_or_explicit | yes | yes | yes | capistrant2022 (2022)
DIP-00108 | Gaia DR3 528511496895284864 | 2.4260324200 | 67.0711610700 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00109 | Gaia DR3 423014391303545216 | 2.4418325500 | 59.0298230900 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00110 | Gaia DR3 528940924906009216 | 2.4628064900 | 67.9671468500 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00111 | Gaia DR3 422910758031822208 | 2.4632074300 | 58.7182294600 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00112 | Gaia DR3 529039198053980672 | 2.4865370900 | 68.1764405700 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00113 | TIC 396357886 | 2.5340000000 | 59.2164000000 | author_vetted_or_explicit | yes | yes | yes | capistrant2022 (2022)
DIP-00114 | Gaia DR3 422900832369384832 | 2.5815414400 | 58.4714826400 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00115 | Gaia DR3 528508713756447872 | 2.6140178300 | 67.0566447600 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00116 | Gaia DR3 528337774057101824 | 2.6337582100 | 65.9576477000 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00117 | Gaia DR3 423004117741888256 | 2.6464768100 | 58.7385572000 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00118 | ZTF18abckbrk | 2.6516570000 | 58.8347410000 | automated_catalog | yes | yes | yes | zhang2024 (2024)
DIP-00119 | Gaia DR3 429093728534190848 | 2.6671638000 | 60.0349001400 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00120 | Gaia DR3 422897980511140224 | 2.6891478700 | 58.6672516100 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00121 | Gaia DR3 422995282986456704 | 2.6994395600 | 58.9065904200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00122 | Gaia DR3 432052922338383616 | 2.7232463600 | 65.3805856300 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00123 | Gaia DR3 432052308165108480 | 2.7405747700 | 65.3211910700 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00124 | Gaia DR3 422853244131099520 | 2.7723752100 | 58.0652868900 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00125 | Gaia DR3 422999788414831616 | 2.8796487900 | 58.8545165000 | automated_primary | yes | yes | yes | zhang2024 (2024); mas2026 (2026)
DIP-00126 | Gaia DR3 530583633933674240 | 2.9139115800 | 68.8322539700 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00127 | Gaia DR3 422990300824126592 | 2.9338796700 | 58.7574019400 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00128 | Gaia DR3 432060412760662784 | 3.0235238900 | 65.5152974300 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00129 | Gaia DR3 528315852543844480 | 3.0447349300 | 66.8131728500 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00130 | Gaia DR3 528712844961093632 | 3.0840696600 | 67.3997697700 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00131 | Gaia DR3 432059558069845888 | 3.1252223000 | 65.5662650100 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00132 | Gaia DR3 432059351911418240 | 3.1551829400 | 65.5564394100 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00133 | Gaia DR3 2797676726644861952 | 3.1959000000 | 19.5040000000 | author_vetted_or_explicit | yes | no | yes | tzanidakis2025 (2025)
DIP-00134 | Gaia DR3 528138354434015104 | 3.2029866300 | 65.6733732700 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00135 | Gaia DR3 528147146227519360 | 3.2524340300 | 65.8522792000 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00136 | Gaia DR3 528739924732683776 | 3.2967832700 | 67.6078572600 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00137 | TIC 373333074 | 3.3338000000 | 77.0371000000 | author_vetted_or_explicit | yes | yes | yes | capistrant2022 (2022)
DIP-00138 | Gaia DR3 528881345117394688 | 3.3440420100 | 68.3908824700 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00139 | Gaia DR3 530427434563278848 | 3.3988574300 | 69.0745778500 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00140 | TIC 609597649 | 3.4178000000 | 77.0361000000 | author_vetted_or_explicit | yes | yes | yes | capistrant2022 (2022)
DIP-00141 | TIC 376088043 | 3.4191000000 | 77.0364000000 | author_vetted_or_explicit | yes | yes | yes | capistrant2022 (2022)
DIP-00142 | Gaia DR3 528132719437109248 | 3.4856024400 | 65.7691588400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00143 | Gaia DR3 528157935185219200 | 3.6109294100 | 65.9050521800 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00144 | Gaia DR3 528133883368502528 | 3.6189261600 | 65.8262189800 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00145 | Gaia DR3 528133093095293312 | 3.6623731400 | 65.7266263900 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00146 | Gaia DR3 528157011772134784 | 3.7297215700 | 65.8025793600 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00147 | Gaia DR3 528153816316478976 | 3.8783405900 | 65.7735391500 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00148 | Gaia DR3 530383935134633728 | 3.9499869300 | 68.6879907800 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00149 | Gaia DR3 530384514951547520 | 3.9719257300 | 68.7483941900 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00150 | Gaia DR3 419958053916697728 | 3.9916035000 | 55.7228419400 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00151 | Gaia DR3 431849688788321408 | 4.0076770300 | 64.3495114000 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00152 | Gaia DR3 429710245320543872 | 4.4957694300 | 61.7587201700 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00153 | Gaia DR3 531116553476201728 | 4.5475788700 | 71.2307792800 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00154 | Gaia DR3 530405096435246208 | 4.6595740400 | 68.7557684100 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00155 | Gaia DR3 430479766022931456 | 4.8684200500 | 62.2019719200 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00156 | Gaia DR3 530480451640595968 | 5.7331500800 | 69.2407515500 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00157 | Gaia DR3 527431231018268928 | 6.2406342200 | 65.8594551000 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00158 | Gaia DR3 537071469796444672 | 6.4103717400 | 71.4215453900 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00159 | Gaia DR3 527452289239461248 | 6.6257526800 | 65.8627364200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00160 | Gaia DR3 527458100333667200 | 6.7427952400 | 65.9365235000 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00161 | Gaia DR3 430426267909638144 | 6.7479989700 | 62.0119965200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00162 | Gaia DR3 415830727782135168 | 7.1710000000 | 51.3171000000 | author_vetted_or_explicit | yes | no | yes | tzanidakis2025 (2025)
DIP-00163 | Gaia DR3 527371062819067904 | 7.1780296900 | 65.4215022800 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00164 | Gaia DR3 430338272618440960 | 7.3795451600 | 62.1909583700 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00165 | Gaia DR3 527371994829640832 | 7.4071653700 | 65.4393641900 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00166 | Gaia DR3 530092388461787008 | 7.4783052400 | 69.2071250800 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00167 | Gaia DR3 527350863590633088 | 7.5355918100 | 65.2361208400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00168 | Gaia DR3 527384772352189696 | 7.6068992200 | 65.5552598000 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00169 | Gaia DR3 527383986378314240 | 7.6562802900 | 65.5225260700 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00170 | Gaia DR3 527383230464097536 | 7.6673590900 | 65.4419184300 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00171 | Gaia DR3 428654920313727744 | 7.6884000000 | 60.6419000000 | author_vetted_or_explicit | yes | no | yes | tzanidakis2025 (2025)
DIP-00172 | Gaia DR3 527358899469812480 | 7.6994122200 | 65.3561188900 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00173 | Gaia DR3 430366653764332032 | 7.7407712300 | 62.3742631000 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00174 | Gaia DR3 527392438873907840 | 7.8305638400 | 65.6831341700 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00175 | Gaia DR3 430925652346838784 | 7.8534706200 | 63.8170383000 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00176 | TIC 428476066 / 2MASS J00313068+6158509 | 7.8778333333 | 61.9808055556 | author_vetted_or_explicit | yes | yes | yes | capistrant2022 (2022); cody2025 (2025)
DIP-00177 | Gaia DR3 430880881607183488 | 8.5048592000 | 63.5082650300 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00178 | Gaia DR3 527584475453793664 | 8.6405548600 | 65.8896848100 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00179 | Gaia DR3 430858268594464512 | 8.7910527300 | 63.5415856000 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00180 | Gaia DR3 527596089045840128 | 8.9676018400 | 65.9447554300 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00181 | Gaia DR3 527610172236190976 | 8.9892939200 | 66.0610697400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00182 | Gaia DR3 527616769306084608 | 9.0099777300 | 66.1701187600 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00183 | Gaia DR3 527597974528990720 | 9.0721160600 | 66.0082044900 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00184 | Gaia DR3 527595711088728832 | 9.0903599800 | 65.8873149000 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00185 | Gaia DR3 380715251262643200 | 9.0975000000 | 39.8044000000 | author_vetted_or_explicit | yes | no | yes | tzanidakis2025 (2025)
DIP-00186 | Gaia DR3 527701539080754432 | 9.1580313000 | 66.2833987700 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00187 | Gaia DR3 527596570082180608 | 9.1704472000 | 65.9387355800 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00188 | TIC 284214915 / 2MASS J00365177+6329300 | 9.2157083333 | 63.4916666667 | automated_secondary_or_tentative | yes | yes | yes | cody2025 (2025)
DIP-00189 | J003653.98+422830.2 | 9.2249166667 | 42.4750555556 | author_vetted_or_explicit | yes | no | yes | schmidt2022 (2022)
DIP-00190 | Gaia DR3 430806011735570432 | 9.2968278900 | 63.0240186400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00191 | Gaia DR3 430812986762409984 | 9.5623991600 | 63.0998951200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00192 | Gaia DR3 430846109551099648 | 9.5739778400 | 63.3851618900 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00193 | Gaia DR3 430833735743522560 | 9.7106657100 | 63.1281852100 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00194 | Gaia DR3 427672094359441152 | 10.2784919700 | 62.1408048900 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00195 | Gaia DR3 427640135499601664 | 10.4718728600 | 61.8285483800 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00196 | Gaia DR3 427172121502617088 | 10.5400201000 | 61.0956656000 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00197 | Gaia DR3 427198544143332864 | 10.5745666900 | 61.2897206000 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00198 | Gaia DR3 427642648063014528 | 10.6045832800 | 61.9505570600 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00199 | Gaia DR3 427195692286674432 | 10.6078940400 | 61.1528242200 | automated_primary | yes | yes | yes | mas2026 (2026)
